,trna.rep.1.tp.1,trna.rep.2.tp.1,trna.rep.3.tp.1,trna.rep.1.tp.2,trna.rep.2.tp.2,trna.rep.3.tp.2,trna.rep.1.tp.3,trna.rep.2.tp.3,trna.rep.3.tp.3,trna.rep.1.tp.4,trna.rep.2.tp.4,trna.rep.3.tp.4,rbf.rep.1.tp.1,rbf.rep.2.tp.1,rbf.rep.3.tp.1,rbf.rep.1.tp.2,rbf.rep.2.tp.2,rbf.rep.3.tp.2,rbf.rep.1.tp.3,rbf.rep.2.tp.3,rbf.rep.3.tp.3,rbf.rep.1.tp.4,rbf.rep.2.tp.4,rbf.rep.3.tp.4
VNG_0924G,776.678,560.955,537.255,661.757,800.756,578.539,130.149,98.1562,65.4095,93.1692,82.0074,89.9711,65.3366,23.5396,14.3587,40.2406,22.5103,23.4266,7.83898,1.91783,2.13048,3.47245,2.78138,2.46632
VNG_0925C,203.345,148.9,121.358,140.083,202.92,120.053,51.2752,25.2152,18.3104,60.8908,43.2824,53.3597,38.5445,16.9334,12.8528,19.6264,26.1424,11.4695,4.15016,5.60926,2.49276,12.5748,1.62588,2.82654
VNG_0926H,152.05,67.6756,71.3679,79.6866,95.7045,70.4715,24.6538,12.9331,10.7962,29.562,18.5572,32.5946,0,0,0,0,0,0,0,0,0,0,0,0
VNG_0927C,30.6332,33.3522,33.1068,23.3203,29.0322,34.6205,100.125,32.3481,36.6922,27.6618,32.3065,39.8153,20.1224,15.9459,6.25695,7.54093,9.18954,13.5632,3.19896,20.356,3.49223,8.83061,2.38782,9.05116
VNG_0928G,23.8339,21.6363,17.8382,17.9465,16.8232,18.6854,31.5589,22.5462,18.8586,13.3421,17.1214,15.8653,8.26285,7.33651,5.98713,11.1112,6.63978,5.76226,4.25502,3.03354,6.43446,1.64719,2.97996,5.21937
VNG_0930G,26.6091,25.6419,26.8328,22.1398,23.8674,16.8864,22.1341,14.3676,8.90738,10.3114,9.58321,9.83185,3.04674,2.54333,4.23138,4.69339,2.12878,1.55805,0,0,0,0.824525,1.31294,0
VNG_0931G,141.974,130.764,118.931,152.34,169.786,138.758,209.23,208.934,165.383,122.107,108.547,95.6899,46.4337,15.2773,9.48485,22.5618,16.5354,16.8921,24.1368,20.098,21.7473,6.66104,5.41564,5.0899
VNG_0932C,53.8705,49.9802,56.7405,46.0412,56.9086,43.6286,57.1566,87.6031,48.5237,40.0479,52.0482,33.7948,19.6167,9.5402,5.83853,10.916,3.65116,10.1269,29.9891,10.8126,2.78255,0,6.88878,0
VNG_0933G,100.539,88.8159,94.7036,71.2785,76.2831,61.0109,63.1543,79.9976,46.0442,43.9813,51.5356,40.9703,48.7511,25.3964,14.6581,39.6029,26.5165,20.8962,10.2412,21.407,12.0893,7.87885,2.75389,3.24511
VNG_0934H,240.014,184.587,203.121,247.965,188.575,173.124,270.464,284.657,215.969,245.679,245.25,237.824,0,23.9098,0,0,0,36.8753,0,0,0,0,0,0
VNG_0935G,29.3934,26.2793,30.6968,19.8076,25.9651,24.0719,36.1793,23.6968,19.7682,26.4799,28.9914,38.8441,0,5.84416,2.12684,10.6979,9.63095,1.94722,2.3474,1.74359,1.19553,1.07432,1.43382,1.90278
VNG_0936C,13.9206,11.4478,12.8069,10.1984,11.2615,13.0441,19.3686,6.06206,5.38376,2.03243,3.48541,4.80333,4.87257,2.41375,0.958927,0,1.69753,4.87245,0,0,1.59921,0,0,0
VNG_0937G,6.24817,6.25228,18.3197,30.0175,63.8612,12.1573,21.7729,7.0574,5.98192,3.15899,4.01795,5.78336,6.11475,4.92617,5.36067,7.84393,7.8925,2.82932,3.58484,6.61387,4.01978,3.99315,6.20785,0.84443
VNG_0938G,5.88205,8.34861,8.38617,10.8649,15.3707,7.29326,35.2308,10.8084,11.4696,7.89637,6.98974,8.24203,10.3945,2.84968,0.520666,4.78272,2.12534,2.12498,0,0,4.20963,1.97324,1.67328,4.58649
VNG_0940G,295.95,305.937,297.419,300.654,377.29,283.35,498.533,382.023,363.294,173.959,176.329,168.091,32.6398,26.4294,17.3418,34.254,21.9333,17.0355,8.12451,16.2974,22.1483,5.85419,4.82036,4.21483
VNG_0941C,215.214,199.785,210.787,215.566,253.616,199.765,253.62,303.954,276.907,117.925,135.38,113.117,69.4498,43.8935,34.7697,68.8979,36.8029,62.3314,33.9529,35.0568,45.9134,20.7179,14.533,31.911
VNG_0942G,321.905,290.546,248.782,305.69,295.651,227.44,253.303,365.365,273.353,299.185,267.452,211.192,85.8676,189.859,91.5052,160.942,126.335,142.547,41.8909,93.345,108.543,60.4075,47.2713,61.086
VNG_0943C,182.95,183.687,158.715,167.058,155.142,195.651,238.586,157.501,150.21,161.374,122.597,148.671,22.5716,6.26027,3.06273,11.8082,2.17447,1.14051,0,8.43412,3.90555,4.83345,6.21384,10.235
VNG_0945H,124.696,94.3124,92.2508,129.47,130.846,101.28,144.853,145.116,156.25,124.826,90.6041,118.975,122.271,81.4428,29.4063,93.7525,20.2382,36.6352,77.2779,54.3757,68.4521,48.3846,46.7073,56.9676
VNG_0946G,184.418,178.89,145.692,147.993,181.87,150.868,302.132,222.32,219.134,305.795,282.46,288.857,58.337,26.0091,9.5442,36.8212,18.5682,15.5373,3.73919,9.34043,12.855,6.66079,7.74931,7.22206
VNG_0947G,13.5283,16.5602,14.5525,16.4735,18.7271,17.606,56.5921,21.9552,25.9025,30.7107,30.7566,35.0217,19.5116,12.1887,11.3401,18.1414,18.0853,14.5715,12.7167,16.5425,22.1886,45.4527,24.7695,29.384
VNG_0949G,102.111,110.454,94.206,130.348,147.891,129.654,244.804,202.859,219.335,226.69,205.91,218.962,99.2132,82.5971,54.4216,101.578,75.35,80.5681,43.9608,82.425,107.695,82.4948,50.2744,95.5542
VNG_0950G,93.5056,100.164,85.1717,125.455,131.812,128.149,258.888,192.264,183.806,261.214,227.269,243.375,41.0886,16.6455,11.2237,47.0399,6.7332,16.9892,18.6881,27.191,24.3537,16.8408,14.8224,40.6397
VNG_0953C,156.835,163.264,147.967,215.474,227.821,191.669,359.427,335.382,256.296,422.071,348.732,356.311,100.249,28.5075,32.2227,61.6799,45.0034,33.7837,35.8516,26.219,30.8529,35.4805,28.0843,67.9898
VNG_0954C,170.537,196.409,157.116,204.621,268.249,231.456,490.496,299.745,298.685,439.096,376.117,443.15,219.086,122.388,77.6898,183.038,163.762,129.313,119.46,110.031,126.555,94.0586,73.1172,165.296
VNG_0955G,172.633,168.082,174.727,288.588,290.528,254.508,340.778,340.396,226.862,385.023,358.052,345.18,48.8183,39.2704,31.5288,52.999,36.3658,47.2999,19.9605,73.8732,57.7848,57.5275,37.6653,75.9177
VNG_0958G,204.47,198.265,177.718,263.754,323.653,251.705,383.032,287.818,200.357,369.614,306.464,315.228,33.9126,15.7487,6.77261,34.9188,16.5933,11.8931,16.879,18.9017,14.3446,17.5842,11.2172,19.099
VNG_0959H,98.8683,110.248,116.128,100.595,125.697,131.035,72.0563,50.5067,54.6282,55.8438,45.7245,60.9536,0,22.8888,7.08378,17.5656,22.7511,8.82516,0,0,0,0,0,19.2123
VNG_0960G,1334.31,1578.4,1725.02,2543.11,2826.29,2502.4,6591,3815.72,4149.49,9145.73,7666.46,10758.7,287.693,139.302,143.128,281.125,293.42,324.25,233.621,374.06,284.244,719.082,521.651,621.811
VNG_0961G,1364.65,1644.34,1772.23,2789.11,3034.83,2580.72,6002.96,4353.9,4173.71,9915.5,8810.16,11386.8,831.501,457.51,332.814,913.332,956.973,906.438,646.696,1166.11,804.636,2289.13,1221.31,2193.86
VNG_0962G,1263.33,1464.94,1573.01,2597.67,2625.7,2233.09,3988.74,3915.47,3369.91,7863.44,6723.63,8809.8,523.095,234.817,202.426,583.372,564.018,501.214,430.95,786.017,536.414,1654.55,846.32,1413.93
VNG_0963G,262.007,343.124,233.41,229.212,309.437,252.012,309.996,236.104,308.808,391.801,342.044,411.64,663.711,399.834,292.5,455.687,432.173,437.446,229.954,264.328,296.216,256.263,184.764,383.846
VNG_0964C,182.838,178.36,133.45,158.4,171.362,157.701,244.582,158.649,174.594,291.127,234.133,260.954,185.854,111.365,67.8988,140.388,64.9642,87.8616,47.698,52.0632,71.0117,67.8854,46.9326,87.9045
VNG_0965C,287.547,242.67,216.899,204.71,206.064,234.828,178.32,160.701,154.838,120.275,100.51,108.999,26.4001,27.8601,21.9318,33.1279,23.3246,23.4644,1.72325,27.3806,13.4814,13.8769,11.135,12.9532
VNG_0966G,220.693,215.329,199.712,262.378,286.871,210.432,246.594,267.755,223.666,354.239,291.914,310.904,25.8045,23.805,18.8418,36.7392,20.6413,30.2,8.85271,31.3475,46.1224,14.8775,23.3972,55.669
VNG_0967G,208.279,214.13,188.341,247.376,271.543,220.881,305.808,343.524,271.467,289.541,297.009,302.577,27.8011,27.7768,31.5207,49.7392,13.8048,39.2693,21.0851,37.0907,28.0155,3.66712,19.116,15.5435
VNG_0969H,133.938,120.768,116.41,159.881,174.134,125.957,159.032,226.433,164.912,176.887,175.256,174.258,28.6633,19.577,20.0493,44.1226,19.1784,39.6167,16.1855,18.5258,26.1208,15.8519,8.69737,40.097
VNG_0970G,211.894,228.535,219.041,301.255,326.872,249.421,419.134,411.708,351.29,340.847,317.629,336.073,60.7191,47.9755,26.5005,38.3279,44.8851,40.5141,10.2009,36.6771,45.9022,37.4716,18.6799,46.5837
